latitude,longitude
41.2222222,-73.0569444
43.916667,-78.583333
41.5622222,-72.6511111
39.3330556,-82.9825
37.8044444,-122.2697222
33.5091667,-111.8983333
28.2916667,-81.4077778
36.119859,-80.073653
42.9994444,-83.6163889
31.9491667,-98.7369444
35.8238889,-80.2536111
42.0333333,-88.0833333
37.9063889,-122.0638889
35.2783333,-93.1336111
33.6888889,-78.8869444
37.715,-76.6944444
47.4272222,-92.9375
29.1869444,-82.1402778
43.0125,-83.6875
34.4838889,-114.3216667
41.8088889,-88.0111111
30.3958333,-88.8852778
41.85,-87.65
38.5788889,-122.5786111
36.7477778,-119.7713889
54.4,-126.65
35.6869444,-105.9372222
33.8463889,-118.0458333
34.5958333,-120.1366667
47.4236111,-120.3091667
33.5458333,-82.3161111
36.1536111,-85.6436111
42.0372222,-88.2811111
38.678281,-90.464916
26.6155556,-80.0572222
33.5927778,-79.0088889
44.7719444,-85.5013889
43.666667,-79.416667
41.4138889,-73.3038889
41.0441667,-83.65
30.1763889,-85.8055556
45.398731,14.801611
45.6,-73.733333
24.861462,67.009939
41.3113889,-105.5905556
33.1191667,-117.0855556
47.4736111,-94.88
36.5697222,-115.6697222
42.8863889,-78.8786111
29.4238889,-98.4933333
31.2516667,-89.8375
33.0580556,-112.0469444
28.5491667,-81.7730556
41.85,-87.65
43.1811111,-95.8558333
19.432608,-99.133208
41.85,-87.65
38.1527778,-107.7611111
28.6802778,-81.5097222
28.1822222,-81.8241667
39.863702,-105.122972
47.6063889,-122.3308333
43.25,-79.833333
45.6961111,-121.285
63.090556,-147.474167
36.175,-115.1363889
40.1983333,-83.0102778
49.9,-119.483333
34.7738889,-79.4630556
41.0658333,-75.3202778
32.5836111,-117.0961111
39.8288889,-84.8902778
34.4113889,-118.5391667
24.555736,-81.782654
33.415,-111.5488889
30.2669444,-97.7427778
42.780892,-77.303723
41.5736111,-75.5022222
44.8830556,-68.6725
43.8955556,-83.0036111
44.9430556,-123.0338889
42.71202,-73.20369
33.7444444,-118.3861111
41.3952778,-81.6763889
37.7788889,-89.5866667
29.9688889,-95.6969444
40.5583333,-85.6591667
39.177404,-76.668392
33.8125,-84.6344444
41.6638889,-83.5552778
32.9952778,-94.9655556
42.8141667,-73.94
37.1305556,-113.5075
39.8855556,-104.9866667
43.6136111,-116.2025
37.6391667,-120.9958333
43.0480556,-76.1477778
39.5127778,-115.9597222
32.9855556,-80.11
41.5733333,-87.7844444
40.5866667,-122.3905556
35.235,-75.6288889
37.8541667,-90.5180556
39.6836111,-75.75
40.7072222,-73.6763889
42.5294444,-83.7802778
33.6888889,-78.8869444
30.2669444,-97.7427778
33.4597222,-94.4152778
33.515366,-79.059836
37.3022222,-120.4819444
40.164579,-74.208267
28.2916667,-81.4077778
45.0791667,-93.1469444
39.7686111,-94.8463889
34.1808333,-118.3080556
35.2225,-97.4391667
19.639994,-155.996926
29.9986111,-95.1763889
39.0838889,-77.1530556
37.4730556,-84.8158333
39.5205556,-74.4861111
33.94,-118.1316667
40.5852778,-105.0838889
38.738308,-93.573028
32.3130556,-97.0113889
39.028469,-104.484128
39.9508333,-86.2619444
43.666667,-79.416667
19.4969444,-155.9216667
37.6922222,-97.3372222
38.1394444,-90.555
39.5538889,-104.9688889
39.6269444,-78.2275
40.6936111,-75.1905556
37.6625,-121.8736111
40.9083333,-90.2847222
32.895,-97.5455556
32.7152778,-117.1563889
42.0569444,-94.7286111
33.6694444,-117.8222222
30.6325,-97.6769444
39.011902,-98.484246
48.1183333,-123.4294444
43.55,-96.7
46.803283,-71.242796
48.0841667,-121.9675
40.7977778,-85.8205556
33.5091667,-111.8983333
35.3733333,-119.0177778
39.0838889,-77.1530556
47.2530556,-122.4430556
36.175,-115.1363889
37.8716667,-122.2716667
26.4516667,-81.9483333
30.2352778,-92.9213889
32.2216667,-110.9258333
40.058324,-74.405661
42.4738889,-96.4133333
42.0986111,-75.9183333
43.0480556,-76.1477778
51.514125,-0.093689
45.5236111,-122.675
37.5536111,-77.4605556
38.9783333,-76.4925
39.440556,-76.626111
45.1858333,-109.2461111
44.1858333,-88.4625
35.0844444,-106.6505556
43.0944444,-79.0569444
33.099295,-117.183824
38.6272222,-90.1977778
42.5377778,-83.2330556
43.666667,-79.416667
39.5716667,-75.4675
55.403692,11.355257
30.275,-89.7811111
42.2458333,-84.4013889
45.433333,-73.166667
38.7316667,-82.9977778
33.5177778,-84.6697222
43.6630556,-116.6863889
45.5236111,-122.675
41.7472222,-73.1891667
41.85,-87.65
40.033396,-83.158245
33.7488889,-84.3880556
38.9172222,-97.2136111
40.4233333,-104.7086111
40.0063889,-75.7036111
25.7738889,-80.1938889
42.9763889,-88.1083333
35.3561111,-95.2652778
26.7052778,-80.0366667
40.9311111,-73.8991667
49.13635335,-122.8213433
39.7391667,-104.9841667
41.1133333,-95.6369444
43.0069444,-75.7997222
41.4788889,-87.4547222
40.31,-75.1302778
39.6491667,-119.7063889
39.898404,-81.827354
39.4141667,-77.4108333
40.972958,-117.735685
45.442254,16.276859
41.5963889,-73.9113889
42.6861111,-72.0444444
39.7852778,-75.9791667
45.5947222,-121.1775
42.9038889,-78.6925
26.1272222,-80.2333333
34.2133333,-118.5711111
44.2169444,-85.9577778
33.9191667,-118.4155556
34.5794444,-118.1155556
53.219384,6.566502
31.7586111,-106.4863889
30.2044444,-91.1972222
47.5708333,-122.2208333
36.2597222,-86.6477778
42.6016667,-88.7075
39.9522222,-75.1641667
34.0522222,-118.2427778
33.6694444,-117.8222222
37.3022222,-120.4819444
51.807809,8.837571
35.8269444,-101.4425
33.415,-111.5488889
35.2505556,-91.7361111
39.6977778,-76.0630556
38.5891667,-121.3016667
26.0625,-80.2333333
35.132188,-118.448974
34.1841667,-118.9097222
36.9902778,-86.4436111
43.6122222,-116.3905556
42.4775,-83.0277778
40.5408333,-74.5880556
43.8286111,-115.8336111
-33.46912,-70.641997
42.5063889,-71.0733333
33.1580556,-117.3497222
44.6522222,-84.1297222
40.9169444,-72.6625
40.7141667,-74.0063889
42.093352,-75.836477
33.4483333,-112.0733333
41.5102778,-112.0147222
46.4947222,-87.3541667
52.612822,-1.200912
35.9605556,-83.9208333
30.7108333,-94.9327778
33.4355556,-112.3488889
26.627628,-80.13539
43.0716667,-70.7630556
42.7325,-84.5555556
39.2402778,-76.8397222
37.306586,-88.178386
29.254482,-81.115256
41.8438889,-79.1452778
34.021273,-86.066233
47.0036111,-123.4075
41.8072222,-77.0777778
46.521858,-84.34609
45.0586111,-69.8827778
51.083333,-114.083333
39.6402778,-106.3736111
45.2869444,-69.5016667
40.79021,-73.762495
42.9633333,-85.6680556
44.5647222,-123.2608333
38.5816667,-121.4933333
34.3738889,-80.0736111
41.835,-87.8227778
37.1533333,-98.0308333
34.7355556,-77.9955556
44.7677778,-93.2775
39.2805556,-80.3447222
38.0963889,-94.3608333
38.3241667,-85.4725
41.3958333,-72.8972222
39.575158,2.653674
-34.928661,138.598633
41.9444444,-71.2861111
40.7977778,-85.8205556
37.5058333,-77.6494444
25.7738889,-80.1938889
42.5175,-123.4186111
39.1325,-77.7688889
33.781142,-113.614652
34.3697222,-83.2352778
32.2780556,-96.0666667
28.2486111,-81.2813889
43.666667,-79.416667
37.91,-84.6947222
33.1580556,-117.3497222
42.3861111,-82.9119444
33.4144444,-82.3127778
40.7141667,-74.0063889
41.7694444,-71.1291667
-25.285,152.873
40.7608333,-111.8902778
34.0522222,-118.2427778
29.656593,-103.523381
44.6713889,-103.8516667
37.720811,-118.590629
46.6022222,-120.5047222
28.8002778,-81.2733333
30.3672222,-89.0927778
42.7022222,-83.4027778
51.715,-3.454167
41.2083333,-78.5758333
42.0688889,-90.6655556
33.4483333,-112.0733333
33.2075,-92.6661111
30.3025,-81.9755556
47.1041667,-122.4333333
26.1219444,-80.1436111
37.2397222,-96.9952778
35.46756,-97.516428
35.426577,-91.836735
40.7841667,-74.6972222
48.4,-89.233333
34.2561111,-78.045
50.1,-91.916667
33.7669444,-118.1883333
46.729553,-94.6859
36.175,-115.1363889
40.21596,-75.67899
39.6477778,-104.9872222
41.0647222,-72.4266667
37.2577778,-120.9977778
47.0380556,-122.8994444
38.0291667,-78.4769444
39.1855556,-78.1636111
37.3394444,-121.8938889
28.1611111,-81.6019444
53.55,-113.5
41.2330556,-76.5161111
45.6388889,-122.6602778
40.2422222,-74.5816667
32.8994444,-105.9597222
48.7597222,-122.4869444
40.4405556,-79.9961111
43.316667,-79.8
61.5813889,-149.4394444
43.6613889,-70.2558333
33.015,-96.6127778
32.772602,-117.251356
35.0844444,-106.6505556
33.8622222,-118.3986111
41.1669444,-74.0436111
42.9722222,-85.9536111
28.2486111,-81.2813889
37.775,-122.4183333
32.2216667,-110.9258333
34.0522222,-118.2427778
36.8527778,-75.9783333
34.8697222,-111.7602778
39.6136111,-86.1066667
37.4555556,-91.2094444
39.952335,-75.163789
30.5227778,-87.9033333
47.6063889,-122.3308333
33.6016667,-90.7736111
40.8086111,-82.1069444
32.7558333,-111.6702778
30.7619444,-86.5705556
34.1747222,-86.8436111
41.8388889,-89.4794444
45.5236111,-122.675
35.909444,14.478611
37.775,-122.4183333
33.3272222,-80.1486111
30.5066667,-88.2338889
47.6063889,-122.3308333
41.7605556,-88.32
32.2216667,-110.9258333
38.626512,-76.910548
51.25,0.75
32.7152778,-117.1563889
47.6541667,-118.1488889
26.4611111,-80.0730556
47.5288889,-121.8241667
33.2961111,-86.8436111
41.1219444,-75.365
54.987778,-1.421389
43.7547222,-71.3972222
40.7408333,-73.6630556
44.5705556,-71.7591667
-36.84846,174.763332
46.8261111,-119.1741667
34.0522222,-118.2427778
34.4480556,-119.2419444
44.73,-116.4372222
43.0716667,-70.7630556
48.9466667,-122.4508333
31.1169444,-97.7275
39.8302778,-75.2408333
44.5861111,-69.5513889
33.1191667,-117.0855556
26.8230556,-80.1388889
32.237147,-80.860387
40.6258333,-75.3708333
39.595,-75.1705556
42.1291667,-80.0852778
38.5816667,-121.4933333
36.2805556,-80.3594444
34.2255556,-77.945
37.7022222,-121.9347222
41.8136111,-71.3705556
42.7430556,-71.5922222
39.4458333,-123.8041667
35.1894444,-114.0522222
25.7738889,-80.1938889
40.854785,-80.457011
47.2530556,-122.4430556
40.7538889,-79.8102778
40.0991667,-83.1141667
39.5138889,-121.5552778
40.4405556,-79.9961111
56.5,-2.966667
36.8527778,-75.9783333
28.1875,-82.7397222
40.2794444,-86.5108333
36.7080556,-119.555
35.9230556,-78.4577778
36.7433333,-84.1597222
42.1958333,-73.3625
29.7630556,-95.3630556
47.0380556,-122.8994444
53.55,-113.5
26.2030556,-98.2297222
43.5061111,-90.6680556
47.0380556,-122.8994444
34.3916667,-118.5416667
46.4,-81.166667
43.2397222,-73.0097222
29.7630556,-95.3630556
32.7919444,-115.5622222
53.899645,-110.21629
10.666667,-61.516667
45.5236111,-122.675
36.6436111,-93.2183333
30.4055556,-86.6188889
44.0583333,-121.3141667
39.1619444,-84.4569444
35.0844444,-106.6505556
32.7833333,-96.8
43.2136111,-77.9394444
41.3680556,-89.4647222
41.9163889,-83.3977778
40.7141667,-74.0063889
39.8016667,-89.6436111
46.9738889,-124.155
24.711667,46.724167
33.9533333,-117.3952778
36.0525,-95.7905556
-31.95224,115.861397
41.0441667,-83.65
42.1166667,-71.8652778
34.0752778,-84.2941667
27.7705556,-82.6794444
36.595,-82.1888889
32.9480556,-96.7294444
33.8702778,-117.9244444
36.5455556,-119.3391667
41.52,-81.4888889
40.1741667,-75.0441667
